TABLE_NAME,COLUMN_NAME,CONSTRAINT_NAME,REFERENCED_TABLE_NAME,REFERENCED_COLUMN_NAME
apiGateway,created_by,apiGateway_ibfk_1,user,id
apiGateway,updated_by,apiGateway_ibfk_2,user,id
apiGatewayStage,api_gateway_id,apiGatewayStage_ibfk_1,apiGateway,id
apiGatewayStage,created_by,apiGatewayStage_ibfk_2,user,id
apiGatewayStage,updated_by,apiGatewayStage_ibfk_3,user,id
apiInsights,consumed_by,apiInsights_ibfk_1,user,id
apiInsights,api_id,apiInsights_ibfk_2,apis,id
apiInsights,application_id,apiInsights_ibfk_3,application,id
apis,category_id,apis_ibfk_1,categories,id
apis,created_by,apis_ibfk_2,user,id
apis,updated_by,apis_ibfk_3,user,id
apis,onboarded_by,apis_ibfk_4,user,id
apis,rejected_by,apis_ibfk_5,user,id
apis,approved_by,apis_ibfk_6,user,id
apisubscription,user_id,apisubscription_ibfk_1,user,id
apisubscription,application_id,apisubscription_ibfk_2,application,id
apisubscription,api_id,apisubscription_ibfk_3,apis,id
apitimeline,api_id,apitimeline_ibfk_1,apis,id
apitimeline,done_by,apitimeline_ibfk_2,user,id
application,user_id,application_ibfk_1,user,id
applicationtimeline,application_id,applicationtimeline_ibfk_1,application,id
applicationtimeline,done_by,applicationtimeline_ibfk_2,user,id
atlassecret,created_by,atlassecret_ibfk_1,user,id
atlassecret,updated_by,atlassecret_ibfk_2,user,id
categories,created_by,categories_ibfk_1,user,id
categories,updated_by,categories_ibfk_2,user,id
categorytimeline,category_id,categorytimeline_ibfk_1,categories,id
categorytimeline,done_by,categorytimeline_ibfk_2,user,id
certificates,created_by,certificates_ibfk_1,user,id
certificates,updated_by,certificates_ibfk_2,user,id
connectorLogs,api_id,connectorLogs_ibfk_2,apis,id
connectorLogs,workflow_id,connectorLogs_ibfk_3,workflows,id
connectorLogs,scheduled_job_id,connectorLogs_ibfk_4,scheduledjobs,id
connectorLogs,application_id,connectorLogs_ibfk_5,application,id
customerendpointmapping,user_id,customerendpointmapping_ibfk_1,user,id
customerendpointmapping,api_id,customerendpointmapping_ibfk_2,apis,id
customerendpointmapping,created_by,customerendpointmapping_ibfk_3,user,id
customerendpointmapping,updated_by,customerendpointmapping_ibfk_4,user,id
emailTemplates,created_by,emailTemplates_ibfk_1,user,id
emailTemplates,updated_by,emailTemplates_ibfk_2,user,id
scheduledjobs,workflow_id,scheduledjobs_ibfk_1,workflows,id
scheduledjobs,api_id,scheduledjobs_ibfk_2,apis,id
scheduledjobs,user_id,scheduledjobs_ibfk_3,user,id
scheduledjobs,created_by,scheduledjobs_ibfk_4,user,id
scheduledjobs,updated_by,scheduledjobs_ibfk_5,user,id
scheduledjobsexecutionresults,scheduled_job_id,scheduledjobsexecutionresults_ibfk_1,scheduledjobs,id
secrets,user_id,secrets_ibfk_1,user,id
userapiaccess,user_id,userapiaccess_ibfk_1,user,id
userapiaccess,api_id,userapiaccess_ibfk_2,apis,id
userapiaccess,done_by,userapiaccess_ibfk_3,user,id
usertimeline,user_id,usertimeline_ibfk_1,user,id
usertimeline,done_by,usertimeline_ibfk_2,user,id
usertokentransaction,user_id,usertokentransaction_ibfk_1,user,id
userwallet,user_id,userwallet_ibfk_1,user,id
wallettimeline,user_id,wallettimeline_ibfk_1,user,id
wallettimeline,api_id,wallettimeline_ibfk_2,apis,id
wallettimeline,application_id,wallettimeline_ibfk_3,application,id
wallettimeline,done_by,wallettimeline_ibfk_4,user,id
workflowVersion,workflow_id,workflowVersion_ibfk_1,workflows,id
workflowVersion,created_by,workflowVersion_ibfk_2,user,id
workflowVersion,updated_by,workflowVersion_ibfk_3,user,id
workflows,created_by,workflows_ibfk_1,user,id
workflows,updated_by,workflows_ibfk_2,user,id
workflowsexecutionresults,workflow_id,workflowsexecutionresults_ibfk_1,workflows,id
workflowsglobalstate,workflow_id,workflowsglobalstate_ibfk_1,workflows,id
