TABLE_NAME,TABLE_SCHEMA,ENGINE,TABLE_ROWS,DATA_LENGTH,INDEX_LENGTH
apiGateway,atlas_db,InnoDB,7,16384,98304
apiGatewayStage,atlas_db,InnoDB,13,16384,81920
apiInsights,atlas_db,InnoDB,205262,81657856,104579072
apis,atlas_db,InnoDB,125,6815744,409600
apisubscription,atlas_db,InnoDB,313,81920,163840
apitimeline,atlas_db,InnoDB,1305,19398656,360448
application,atlas_db,InnoDB,22,16384,32768
applicationtimeline,atlas_db,InnoDB,316,131072,98304
atlasSettings,atlas_db,InnoDB,0,16384,16384
atlassecret,atlas_db,InnoDB,10,16384,49152
categories,atlas_db,InnoDB,8,16384,65536
categorytimeline,atlas_db,InnoDB,18,16384,32768
certificates,atlas_db,InnoDB,10,65536,81920
connectorLogs,atlas_db,InnoDB,251848,12711936000,1895170048
customerendpointmapping,atlas_db,InnoDB,1,16384,81920
feedback,atlas_db,InnoDB,14,16384,32768
licenseKeys,atlas_db,InnoDB,3,16384,0
metaData,atlas_db,InnoDB,0,16384,16384
scheduledjobs,atlas_db,InnoDB,7,16384,114688
scheduledjobsexecutionresults,atlas_db,InnoDB,258,507904,98304
secrets,atlas_db,InnoDB,39,16384,32768
token,atlas_db,InnoDB,1839,278528,212992
user,atlas_db,InnoDB,52,49152,65536
userapiaccess,atlas_db,InnoDB,671,180224,294912
usertimeline,atlas_db,InnoDB,1400,442368,393216
usertokentransaction,atlas_db,InnoDB,40,16384,16384
userwallet,atlas_db,InnoDB,8,16384,16384
walletconfiguration,atlas_db,InnoDB,0,16384,0
wallettimeline,atlas_db,InnoDB,26,16384,65536
workflowVersion,atlas_db,InnoDB,0,16384,81920
workflows,atlas_db,InnoDB,27,2113536,65536
workflowsexecutionresults,atlas_db,InnoDB,73242,132923392,27967488
workflowsglobalstate,atlas_db,InnoDB,0,16384,16384
