DIGEST_TEXT,SCHEMA_NAME,total_exec_time
"INSERT INTO `debit_tran_reg` ( `id` , `batch_id` , `mandate_type` , `bank_code` , `source_system` , `company_code` , `loan_no` , `mandate_start` , `account_number` , `umrn_no` , `customer_name` , `mandate_amount` , `presentment_mode` , `ifsc_code` , `utility_code` , `merge_flag` , `source_system_uniq_number` , `product_code` , `account_type` , `tpls_instrument_ref_no` , `micr_code` , `upload_status` , `bank_branch_code` , `city_code` , `Bank_Branch_Identifier_Code` , `createdAt` , `updatedAt` ) VALUES ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... ,",systemx,331630265285490000
"UPDATE `open_mandate_contract` SET `mandate_status` = ? , `matrix_file_flag` = FALSE , `emi` = ? , `remark` = ? , `updatedAt` = ? WHERE `los_id` = ?",systemx,89336127032226000
"INSERT INTO `debit_tran_reg` ( `id` , `batch_id` , `mandate_type` , `bank_code` , `source_system` , `company_code` , `loan_no` , `mandate_start` , `account_number` , `umrn_no` , `customer_name` , `mandate_amount` , `presentment_mode` , `ifsc_code` , `utility_code` , `merge_flag` , `source_system_uniq_number` , `product_code` , `account_type` , `tpls_instrument_ref_no` , `micr_code` , `upload_status` , `createdAt` , `updatedAt` ) VALUES ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?",systemx,29576535089248000
SELECT COUNT ( * ) AS `count` FROM `debit_tran_reg` AS `debit_tran_reg` WHERE `debit_tran_reg` . `loan_no` = ? AND `debit_tran_reg` . `mandate_start` = ? AND `debit_tran_reg` . `mandate_type` = ? AND `debit_tran_reg` . `bank_code` = ? AND `debit_tran_reg` . `source_system` = ? AND `debit_tran_reg` . `company_code` = ? AND `debit_tran_reg` . `account_number` = ?,systemx,25237919511774000
"SELECT `m` . `id` , `m` . `mandate_type` , `d` . `health_check_status` , `d` . `sent_reg_status` , `e` . `om_de_availability` , `d` . `sent_reg_flag` , `m` . `reversal_batch_id` , `m` . `sponsor_bank_code` , `m` . `utility_code` , `m` . `product_type` , `m` . `sub_product_type` , `m` . `frequency_code` , `m` . `loan_no` , `e` . `contract_no` AS `io_dis_loan` , `dis` . `loan_no` AS `dis_loan` , `m` . `web_top` , `m` . `los_id` , `m` . `micr_code` , `mi` . `micr_code` AS `master_micr` , `m` . `ifsc_code` , `m` . `bank_name` , `m` . `branch_code` , `m` . `city` , `m` . `customer_name` , `m` . `mobile_number` , `m` . `std_code` , `m` . `boardline_no` , `m` . `personal_email` , `m` . `office_email` , `m` . `account_holder_name` , `m` . `account_number` , `m` . `account_type` , `m` . `mandate_maximum_amount` , `m` . `mandate_date` , `m` . `contribution` , `m` . `mandate_start_date` , `m` . `mandate_end_date` , `m` . `cycle_date` , `m` .",systemx,23698338641044000
DELETE FROM `debit_tran_reg` WHERE `batch_id` = ?,systemx,19232714630013000
"INSERT INTO `debit_tran_res` ( `id` , `batch_id` , `mandate_type` , `bank_code` , `source_system` , `company_code` , `loan_no` , `mandate_start` , `account_number` , `umrn_no` , `customer_name` , `mandate_amount` , `presentment_mode` , `ifsc_code` , `utility_code` , `merge_flag` , `source_system_uniq_number` , `product_code` , `account_type` , `tpls_instrument_ref_no` , `micr_code` , `upload_status` , `bank_branch_code` , `city_code` , `Bank_Branch_Identifier_Code` , `createdAt` , `updatedAt` ) VALUES ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... , FALSE , ?, ... ) , ( ?, ... ,",systemx,16875284371934000
SELECT COUNT ( * ) AS `count` FROM `debit_tran_res` AS `debit_tran_res` WHERE `debit_tran_res` . `batch_id` = ?,systemx,14553713802449000
SELECT COUNT ( * ) AS `count` FROM `debit_tran_reg` AS `debit_tran_reg` WHERE `debit_tran_reg` . `batch_id` = ?,systemx,10746805407490000
SELECT COUNT ( * ) AS `count` FROM `io_disburse_rejected_log` AS `io_disburse_rejected_log` WHERE `io_disburse_rejected_log` . `file_name` = ?,systemx,7440206784690000
